id;name;address;region;phone_number;manager_name
815f590a-000b-486d-9752-6d135ab5dfa5;custom proud gosh;that woot sweetly;correctly;geez internalise;likewise
a3025f94-eead-41e0-b7d3-e77249e07d95;seemingly an;miserably yuck;norm;fooey phrase;never
f2925f76-86a1-41ca-9240-56439a3f1f1e;off;aw black-and-white;until but steel;hm than jacket;cautiously slowly
c441ae3a-ea81-4008-ad5f-105dfec70449;throughout;while er;clamour geez;intently glisten;round
9b539d74-865c-4e24-9c63-d1337f29b620;natural amidst;fiercely;impish;mmm onto;wallop
06a45a6d-8e65-4e8a-872e-82046c4cae27;and;pluck;weep;psst the sit;inquisitively conclude shrilly
180b8e65-dfec-40ec-89ee-752a7c0ecfae;upon factorize;for warp psst;politely censor squirm;in;emergent woot separately
dbe5150c-2963-4d91-bae7-468f15f962b3;vivid;incidentally;selfish rarely;jovially weary;upset hourly oof
86c33f49-4542-4a03-90d5-ecca70a710d4;esteemed and ribbon;gadzooks opposite utterly;airman aha modulo;salty;thorn inside
3e044e98-14fb-4fa9-8b45-f7ff5cee077b;exhaust self-reliant grimy;ack;greedy;density which;although
