id;name;postal_code
914d74e4-296e-44a6-b40d-516c0377b790;apud;via
8782c0ac-59ce-4477-be48-8a865b11e4de;window optimistically represent;fairly whale huge
102819a4-88d5-4e09-9a42-db3293899162;effector;well-groomed shear however
bee70913-d30c-4f49-bd97-a2061e8a24a3;ew against;jet
9b26f429-28d4-44c2-a395-0055364bf650;fervently how;since whenever
4b694b24-db81-4e97-a2a2-dd2d6113b130;natural helpfully necessary;holster
a21bccc4-186b-4ea6-9871-72a6f71f7c36;stitcher;an abnormally
363a4c00-002d-458e-92ea-d5420799868c;lox;opposite advanced broadcast
74fb5981-5094-4e0c-8e9a-a0ffe0494c72;yet er purple;quadruple quickly
74b965ae-4dfb-448f-971d-2e3ecabd8c99;gape boggle off;uh-huh insist eek
