id;contract_number;duration;start_date;end_date;net_premium;upfront_premium;cost;taxes;f_ssr;f_pac;t_fga;contract_type;payment_plan
2e4359be-5557-41ac-baf8-ea0d006b92ae;viciously;topsail duh unearth;1976-06-01;1976-06-01;2939.21;679.6;15239.2;8592.18;22146.29;14977.96;7061.37;RENEWABLE;SEMI_ANNUAL
3ce6e8dc-54f5-4665-af67-93346670e260;dreamily rival lest;pop;1976-06-01;1976-06-01;9840.79;3182.37;22002.38;9456.62;29639.1;9245.14;7353.53;RENEWABLE;Quarterly
eb4b4a5f-ede8-4d18-a716-0b5bebaa3a63;coop impact;boohoo definitive;1976-06-01;1976-06-01;24525.89;8689.82;8253.64;24493.93;30072.73;13375.62;13694.18;RENEWABLE;ANNUAL
08fe71e7-31e0-4e7c-8f5d-b625d51d2ec7;while self-confidence judgementally;meh collectivization;1976-06-01;1976-06-01;10422.41;11261.78;18743.38;22050.23;32205.49;125.17;30196.39;RENEWABLE;ANNUAL
2ae218b8-277b-4ea5-bca9-f6f915ecb8d0;mixed inasmuch yowza;under;1976-06-01;1976-05-31;5441.35;31429.97;22570.14;12085.03;15458.8;28934.13;20633.62;RENEWABLE;ANNUAL
0198aab8-8958-4488-a0e7-160c497ad68a;boohoo condense brr;tragic;1976-06-01;1976-06-01;11677.06;11114.72;1550.63;651.49;22337.39;22603.05;18469.88;RENEWABLE;SEMI_ANNUAL
1420c461-9b83-4daf-9beb-1f97e5eadf71;upon whoever worth;marten;1976-05-31;1976-06-01;8253.68;6234.58;21919.8;32582.06;24898.29;7728.28;4618.18;RENEWABLE;ANNUAL
87968b67-1e93-4ea3-a1e0-0991736087d5;brr;mismatch pace;1976-06-01;1976-06-01;6222.38;6172.25;6121.83;334.53;4785.66;6394.18;8611.62;RENEWABLE;ANNUAL
1888d4e7-acbb-44b7-aa24-1bf794436546;doubtfully greedily even;noisily sharply meaningfully;1976-06-01;1976-06-01;5263.16;10776.47;24654.92;13567.24;6570.16;9357.21;16727.01;CLOSED;SEMI_ANNUAL
2c74d2e0-004c-4398-b0df-74457878deb5;without;eek although but;1976-06-01;1976-06-01;27707.3;6674.47;15800.92;32015.1;13897.08;18271.6;26393.88;RENEWABLE;SEMI_ANNUAL
