id;registration_number;registration_type;first_registration_date;technical_inspection_status;expiration_date;new_value;market_value;brand;model;fiscal_power;chassis_number;energy;genre;nbr_of_seats;nbr_of_standing_places;empty_weight;payload;bonus_malus;vehicle_age;mileage;number_of_doors;gearbox;color;usage;is_new;has_garage;has_parking;has_alarm_system;has_seatbelt_alarm;has_rear_camera;has_rear_radar;has_abs_system;has_gps;has_airbag;navette
c1283557-5024-4f27-8c23-3b1d80b7a9a8;typewriter flight;STANDARD_PRIVATE_VEHICLE;1976-06-01;EXPIRED;1976-06-01;25767.24;13941.62;AUDI;phooey;11615;untimely so;GPL;commandeer so;31339;13521;19336;5672;13583;and;21255;32263;MANUAL;yellow;PERSONAL;false;false;false;false;true;true;false;true;true;true;false
606c4107-7a34-43cb-9c85-27e07ec8d69f;bravely;CONSULAR_MISSION;1976-05-31;VALID;1976-06-01;16935.77;23679.14;NISSAN;oval outside save;24127;inasmuch;HYBRID;weary subexpression;15567;18008;12587;29214;4319;outside;3577;1835;AUTOMATIC;yellow;PERSONAL;true;true;false;true;true;true;true;false;true;false;true
66ff7267-bdcb-4bbe-ade3-aa11d5b233f2;tremendously;TEMPORARY_REGISTRATION;1976-06-01;VALID;1976-06-01;31472.9;29130.3;BYD;pace slimy less;12396;amidst boohoo pretend;DIESEL;why;24582;28806;26708;7696;29950;or supposing yummy;19127;15298;MANUAL;black;PERSONAL;true;false;true;true;true;true;true;false;true;false;false
6a9e678b-a7a0-49b8-8771-7054f55554fc;which;SUSPENSIVE_REGIME;1976-06-01;VALID;1976-06-01;9648.38;668.17;KIA;ick forenenst;18510;till yowza;ELECTRIC;oof pfft;4687;21910;5531;20530;1208;design;9629;27234;MANUAL;cyan;PERSONAL;true;true;true;false;false;true;false;false;true;true;false
a01e9233-92b9-4458-bd87-30b0e02473fe;needily utilization pace;TRAILER;1976-05-31;VALID;1976-06-01;20429.4;18998.92;HYUNDAI;endow if;17461;ugh unlike;PETROL;duh broadly;14299;3383;5626;29083;3264;whenever;765;10633;MANUAL;mint green;PERSONAL;true;false;true;false;true;false;false;false;true;false;false
08e9137c-6beb-4d92-942a-ebbfb4a5a4c5;whirlwind;CONSULAR_MISSION;1976-06-01;EXPIRED;1976-06-01;25787.59;9828.42;MG;dearly shyly e-mail;18177;unlined as;PETROL;viciously similar hm;22909;243;8370;5012;10834;steel yum serpentine;22714;29615;MANUAL;purple;PERSONAL;false;true;true;true;true;false;true;true;true;false;false
64fe5d08-2c07-4046-8974-5ad56f5a51e2;cool sociable unlike;CONSULAR_MISSION;1976-06-01;VALID;1976-06-01;8825.03;13169.05;SUZUKI;wordy unless;3091;without lightly garage;GPL;out boastfully;11065;27553;13483;12651;30319;cleaner license fortunately;27383;19418;MANUAL;sky blue;COMMERCIAL;true;true;true;false;false;true;false;false;false;true;false
74435a8a-7ff5-4cc9-8645-7aee7ce9d997;who svelte;SUSPENSIVE_REGIME;1976-06-01;EXEMPTED;1976-06-01;10209.36;2365.16;CITROEN;limply bitterly;26581;cinch;PETROL;plus unlike peaceful;24657;7639;20868;16846;19274;stack;8602;17495;MANUAL;grey;PERSONAL;true;true;false;false;true;false;false;false;true;false;true
e815b23e-a6e7-4128-9026-b450f12ecba4;once nimble;CONSULAR_MISSION;1976-06-01;VALID;1976-06-01;21402.8;21991.44;KIA;travel;27090;obediently;PETROL;whereas hygienic;28888;27965;28185;32725;26487;heartache;26732;1044;AUTOMATIC;plum;PERSONAL;true;true;true;true;true;false;true;true;true;false;true
0660e591-5e23-4a6c-a915-6d2e728ea6aa;loftily brr solution;TRAILER;1976-06-01;VALID;1976-06-01;27967.54;7051.26;MERCEDES_BENZ;from;23988;ew;HYBRID;circulate greedy leading;19301;13151;28901;26304;26204;lumbering;6612;2841;MANUAL;yellow;PERSONAL;false;false;true;false;false;true;false;true;true;true;false
